item_index,prompt_template,prime_condition,prime_structure,prime_sentence,target_active,target_passive,agent_det,agent_noun,patient_det,patient_noun,verb_lemma,active_verb_form,passive_verb_form,message_role_order_json,prompt,sentence_stub,choice_target,active_choice_logprob,passive_choice_logprob,passive_minus_active_logprob,chosen_structure,passive_choice_indicator
0,role_labeled,active,active,a student drags a teacher .,a girl drags a guest .,a guest is dragged by a girl .,a,girl,a,guest,drag,drags,dragged,"[""AGENT=girl"", ""VERB=drag"", ""PATIENT=guest""]","Prime sentence: a student drags a teacher .
Event roles: AGENT=girl; VERB=drag; PATIENT=guest
Sentence: the",Sentence: the,first_noun,-1.9329338073730469,-6.353037357330322,-4.420103549957275,active,0.0
0,role_labeled,passive,passive,a teacher is dragged by a student .,a girl drags a guest .,a guest is dragged by a girl .,a,girl,a,guest,drag,drags,dragged,"[""AGENT=girl"", ""VERB=drag"", ""PATIENT=guest""]","Prime sentence: a teacher is dragged by a student .
Event roles: AGENT=girl; VERB=drag; PATIENT=guest
Sentence: the",Sentence: the,first_noun,-2.0691092014312744,-6.406189918518066,-4.337080717086792,active,0.0
0,role_labeled,no_prime_eos,no_prime_eos,,a girl drags a guest .,a guest is dragged by a girl .,a,girl,a,guest,drag,drags,dragged,"[""AGENT=girl"", ""VERB=drag"", ""PATIENT=guest""]","Event roles: AGENT=girl; VERB=drag; PATIENT=guest
Sentence: the",Sentence: the,first_noun,-2.0062100887298584,-5.067277908325195,-3.061067819595337,active,0.0
0,role_labeled,filler,filler,The witness paused near the doorway .,a girl drags a guest .,a guest is dragged by a girl .,a,girl,a,guest,drag,drags,dragged,"[""AGENT=girl"", ""VERB=drag"", ""PATIENT=guest""]","Prime sentence: The witness paused near the doorway .
Event roles: AGENT=girl; VERB=drag; PATIENT=guest
Sentence: the",Sentence: the,first_noun,-1.5145776271820068,-6.024588584899902,-4.5100109577178955,active,0.0
1,role_labeled,active,active,a guest beats a guy .,a student beats a teacher .,a teacher is beaten by a student .,a,student,a,teacher,beat,beats,beaten,"[""AGENT=student"", ""VERB=beat"", ""PATIENT=teacher""]","Prime sentence: a guest beats a guy .
Event roles: AGENT=student; VERB=beat; PATIENT=teacher
Sentence: the",Sentence: the,first_noun,-1.935882806777954,-2.9728004932403564,-1.0369176864624023,active,0.0
1,role_labeled,passive,passive,a guy is beaten by a guest .,a student beats a teacher .,a teacher is beaten by a student .,a,student,a,teacher,beat,beats,beaten,"[""AGENT=student"", ""VERB=beat"", ""PATIENT=teacher""]","Prime sentence: a guy is beaten by a guest .
Event roles: AGENT=student; VERB=beat; PATIENT=teacher
Sentence: the",Sentence: the,first_noun,-2.4554390907287598,-2.898470401763916,-0.44303131103515625,active,0.0
1,role_labeled,no_prime_eos,no_prime_eos,,a student beats a teacher .,a teacher is beaten by a student .,a,student,a,teacher,beat,beats,beaten,"[""AGENT=student"", ""VERB=beat"", ""PATIENT=teacher""]","Event roles: AGENT=student; VERB=beat; PATIENT=teacher
Sentence: the",Sentence: the,first_noun,-2.515270233154297,-3.2328553199768066,-0.7175850868225098,active,0.0
1,role_labeled,filler,filler,The kettle whistled in the kitchen .,a student beats a teacher .,a teacher is beaten by a student .,a,student,a,teacher,beat,beats,beaten,"[""AGENT=student"", ""VERB=beat"", ""PATIENT=teacher""]","Prime sentence: The kettle whistled in the kitchen .
Event roles: AGENT=student; VERB=beat; PATIENT=teacher
Sentence: the",Sentence: the,first_noun,-3.8274199962615967,-3.6131532192230225,0.21426677703857422,passive,1.0
2,role_labeled,active,active,an aunt kills an author .,a mayor kills a minister .,a minister is killed by a mayor .,a,mayor,a,minister,kill,kills,killed,"[""VERB=kill"", ""AGENT=mayor"", ""PATIENT=minister""]","Prime sentence: an aunt kills an author .
Event roles: VERB=kill; AGENT=mayor; PATIENT=minister
Sentence: the",Sentence: the,first_noun,-2.7528791427612305,-4.745199680328369,-1.9923205375671387,active,0.0
2,role_labeled,passive,passive,an author is killed by an aunt .,a mayor kills a minister .,a minister is killed by a mayor .,a,mayor,a,minister,kill,kills,killed,"[""VERB=kill"", ""AGENT=mayor"", ""PATIENT=minister""]","Prime sentence: an author is killed by an aunt .
Event roles: VERB=kill; AGENT=mayor; PATIENT=minister
Sentence: the",Sentence: the,first_noun,-2.5691614151000977,-5.222960472106934,-2.653799057006836,active,0.0
2,role_labeled,no_prime_eos,no_prime_eos,,a mayor kills a minister .,a minister is killed by a mayor .,a,mayor,a,minister,kill,kills,killed,"[""VERB=kill"", ""AGENT=mayor"", ""PATIENT=minister""]","Event roles: VERB=kill; AGENT=mayor; PATIENT=minister
Sentence: the",Sentence: the,first_noun,-2.802337884902954,-5.147102355957031,-2.344764471054077,active,0.0
2,role_labeled,filler,filler,The sculpture stood in the hallway .,a mayor kills a minister .,a minister is killed by a mayor .,a,mayor,a,minister,kill,kills,killed,"[""VERB=kill"", ""AGENT=mayor"", ""PATIENT=minister""]","Prime sentence: The sculpture stood in the hallway .
Event roles: VERB=kill; AGENT=mayor; PATIENT=minister
Sentence: the",Sentence: the,first_noun,-3.8011019229888916,-6.315625190734863,-2.5145232677459717,active,0.0
3,role_labeled,active,active,a wife hurries a winner .,a hero hurries a husband .,a husband is hurried by a hero .,a,hero,a,husband,hurry,hurries,hurried,"[""AGENT=hero"", ""PATIENT=husband"", ""VERB=hurry""]","Prime sentence: a wife hurries a winner .
Event roles: AGENT=hero; PATIENT=husband; VERB=hurry
Sentence: the",Sentence: the,first_noun,-4.866459369659424,-3.682727336883545,1.183732032775879,passive,1.0
3,role_labeled,passive,passive,a winner is hurried by a wife .,a hero hurries a husband .,a husband is hurried by a hero .,a,hero,a,husband,hurry,hurries,hurried,"[""AGENT=hero"", ""PATIENT=husband"", ""VERB=hurry""]","Prime sentence: a winner is hurried by a wife .
Event roles: AGENT=hero; PATIENT=husband; VERB=hurry
Sentence: the",Sentence: the,first_noun,-4.7452287673950195,-3.9931302070617676,0.752098560333252,passive,1.0
3,role_labeled,no_prime_eos,no_prime_eos,,a hero hurries a husband .,a husband is hurried by a hero .,a,hero,a,husband,hurry,hurries,hurried,"[""AGENT=hero"", ""PATIENT=husband"", ""VERB=hurry""]","Event roles: AGENT=hero; PATIENT=husband; VERB=hurry
Sentence: the",Sentence: the,first_noun,-3.107334613800049,-5.059104919433594,-1.951770305633545,active,0.0
3,role_labeled,filler,filler,The tourist wandered through the plaza .,a hero hurries a husband .,a husband is hurried by a hero .,a,hero,a,husband,hurry,hurries,hurried,"[""AGENT=hero"", ""PATIENT=husband"", ""VERB=hurry""]","Prime sentence: The tourist wandered through the plaza .
Event roles: AGENT=hero; PATIENT=husband; VERB=hurry
Sentence: the",Sentence: the,first_noun,-5.489877700805664,-4.998023986816406,0.4918537139892578,passive,1.0
4,role_labeled,active,active,a wife judges a winner .,a hero judges a husband .,a husband is judged by a hero .,a,hero,a,husband,judg,judges,judged,"[""VERB=judg"", ""PATIENT=husband"", ""AGENT=hero""]","Prime sentence: a wife judges a winner .
Event roles: VERB=judg; PATIENT=husband; AGENT=hero
Sentence: the",Sentence: the,first_noun,-4.451576232910156,-3.8271965980529785,0.6243796348571777,passive,1.0
4,role_labeled,passive,passive,a winner is judged by a wife .,a hero judges a husband .,a husband is judged by a hero .,a,hero,a,husband,judg,judges,judged,"[""VERB=judg"", ""PATIENT=husband"", ""AGENT=hero""]","Prime sentence: a winner is judged by a wife .
Event roles: VERB=judg; PATIENT=husband; AGENT=hero
Sentence: the",Sentence: the,first_noun,-4.43923282623291,-3.991572856903076,0.447659969329834,passive,1.0
4,role_labeled,no_prime_eos,no_prime_eos,,a hero judges a husband .,a husband is judged by a hero .,a,hero,a,husband,judg,judges,judged,"[""VERB=judg"", ""PATIENT=husband"", ""AGENT=hero""]","Event roles: VERB=judg; PATIENT=husband; AGENT=hero
Sentence: the",Sentence: the,first_noun,-4.020665645599365,-5.2913498878479,-1.2706842422485352,active,0.0
4,role_labeled,filler,filler,The traveler rested beside the river .,a hero judges a husband .,a husband is judged by a hero .,a,hero,a,husband,judg,judges,judged,"[""VERB=judg"", ""PATIENT=husband"", ""AGENT=hero""]","Prime sentence: The traveler rested beside the river .
Event roles: VERB=judg; PATIENT=husband; AGENT=hero
Sentence: the",Sentence: the,first_noun,-5.59891414642334,-5.536623477935791,0.06229066848754883,passive,1.0
5,role_labeled,active,active,a president drags a priest .,a champion drags a chief .,a chief is dragged by a champion .,a,champion,a,chief,drag,drags,dragged,"[""VERB=drag"", ""PATIENT=chief"", ""AGENT=champion""]","Prime sentence: a president drags a priest .
Event roles: VERB=drag; PATIENT=chief; AGENT=champion
Sentence: the",Sentence: the,first_noun,-8.207857131958008,-5.018886566162109,3.1889705657958984,passive,1.0
5,role_labeled,passive,passive,a priest is dragged by a president .,a champion drags a chief .,a chief is dragged by a champion .,a,champion,a,chief,drag,drags,dragged,"[""VERB=drag"", ""PATIENT=chief"", ""AGENT=champion""]","Prime sentence: a priest is dragged by a president .
Event roles: VERB=drag; PATIENT=chief; AGENT=champion
Sentence: the",Sentence: the,first_noun,-7.425361633300781,-4.961844444274902,2.463517189025879,passive,1.0
5,role_labeled,no_prime_eos,no_prime_eos,,a champion drags a chief .,a chief is dragged by a champion .,a,champion,a,chief,drag,drags,dragged,"[""VERB=drag"", ""PATIENT=chief"", ""AGENT=champion""]","Event roles: VERB=drag; PATIENT=chief; AGENT=champion
Sentence: the",Sentence: the,first_noun,-5.622526168823242,-4.791573524475098,0.8309526443481445,passive,1.0
5,role_labeled,filler,filler,The package arrived before noon .,a champion drags a chief .,a chief is dragged by a champion .,a,champion,a,chief,drag,drags,dragged,"[""VERB=drag"", ""PATIENT=chief"", ""AGENT=champion""]","Prime sentence: The package arrived before noon .
Event roles: VERB=drag; PATIENT=chief; AGENT=champion
Sentence: the",Sentence: the,first_noun,-7.0889997482299805,-6.12601900100708,0.9629807472229004,passive,1.0
6,role_labeled,active,active,a buddy destroys a candidate .,a parent destroys a partner .,a partner is destroyed by a parent .,a,parent,a,partner,destroy,destroys,destroyed,"[""VERB=destroy"", ""AGENT=parent"", ""PATIENT=partner""]","Prime sentence: a buddy destroys a candidate .
Event roles: VERB=destroy; AGENT=parent; PATIENT=partner
Sentence: the",Sentence: the,first_noun,-5.171663284301758,-5.377479076385498,-0.20581579208374023,active,0.0
6,role_labeled,passive,passive,a candidate is destroyed by a buddy .,a parent destroys a partner .,a partner is destroyed by a parent .,a,parent,a,partner,destroy,destroys,destroyed,"[""VERB=destroy"", ""AGENT=parent"", ""PATIENT=partner""]","Prime sentence: a candidate is destroyed by a buddy .
Event roles: VERB=destroy; AGENT=parent; PATIENT=partner
Sentence: the",Sentence: the,first_noun,-5.104391098022461,-5.255727767944336,-0.151336669921875,active,0.0
6,role_labeled,no_prime_eos,no_prime_eos,,a parent destroys a partner .,a partner is destroyed by a parent .,a,parent,a,partner,destroy,destroys,destroyed,"[""VERB=destroy"", ""AGENT=parent"", ""PATIENT=partner""]","Event roles: VERB=destroy; AGENT=parent; PATIENT=partner
Sentence: the",Sentence: the,first_noun,-4.550610542297363,-6.9481892585754395,-2.397578716278076,active,0.0
6,role_labeled,filler,filler,The package arrived before noon .,a parent destroys a partner .,a partner is destroyed by a parent .,a,parent,a,partner,destroy,destroys,destroyed,"[""VERB=destroy"", ""AGENT=parent"", ""PATIENT=partner""]","Prime sentence: The package arrived before noon .
Event roles: VERB=destroy; AGENT=parent; PATIENT=partner
Sentence: the",Sentence: the,first_noun,-5.507434844970703,-7.672754287719727,-2.1653194427490234,active,0.0
7,role_labeled,active,active,a boy discovers a brother .,a nurse discovers an opponent .,an opponent is discovered by a nurse .,a,nurse,an,opponent,discover,discovers,discovered,"[""PATIENT=opponent"", ""AGENT=nurse"", ""VERB=discover""]","Prime sentence: a boy discovers a brother .
Event roles: PATIENT=opponent; AGENT=nurse; VERB=discover
Sentence: the",Sentence: the,first_noun,-4.057199478149414,-7.73062801361084,-3.673428535461426,active,0.0
7,role_labeled,passive,passive,a brother is discovered by a boy .,a nurse discovers an opponent .,an opponent is discovered by a nurse .,a,nurse,an,opponent,discover,discovers,discovered,"[""PATIENT=opponent"", ""AGENT=nurse"", ""VERB=discover""]","Prime sentence: a brother is discovered by a boy .
Event roles: PATIENT=opponent; AGENT=nurse; VERB=discover
Sentence: the",Sentence: the,first_noun,-3.869722843170166,-7.37253475189209,-3.502811908721924,active,0.0
7,role_labeled,no_prime_eos,no_prime_eos,,a nurse discovers an opponent .,an opponent is discovered by a nurse .,a,nurse,an,opponent,discover,discovers,discovered,"[""PATIENT=opponent"", ""AGENT=nurse"", ""VERB=discover""]","Event roles: PATIENT=opponent; AGENT=nurse; VERB=discover
Sentence: the",Sentence: the,first_noun,-3.1902565956115723,-6.273134231567383,-3.0828776359558105,active,0.0
7,role_labeled,filler,filler,The blanket dried on the line .,a nurse discovers an opponent .,an opponent is discovered by a nurse .,a,nurse,an,opponent,discover,discovers,discovered,"[""PATIENT=opponent"", ""AGENT=nurse"", ""VERB=discover""]","Prime sentence: The blanket dried on the line .
Event roles: PATIENT=opponent; AGENT=nurse; VERB=discover
Sentence: the",Sentence: the,first_noun,-4.3572998046875,-8.289918899536133,-3.932619094848633,active,0.0
8,role_labeled,active,active,an actress chases an adult .,a leader chases a man .,a man is chased by a leader .,a,leader,a,man,chas,chases,chased,"[""VERB=chas"", ""AGENT=leader"", ""PATIENT=man""]","Prime sentence: an actress chases an adult .
Event roles: VERB=chas; AGENT=leader; PATIENT=man
Sentence: the",Sentence: the,first_noun,-5.381277561187744,-4.168421268463135,1.2128562927246094,passive,1.0
8,role_labeled,passive,passive,an adult is chased by an actress .,a leader chases a man .,a man is chased by a leader .,a,leader,a,man,chas,chases,chased,"[""VERB=chas"", ""AGENT=leader"", ""PATIENT=man""]","Prime sentence: an adult is chased by an actress .
Event roles: VERB=chas; AGENT=leader; PATIENT=man
Sentence: the",Sentence: the,first_noun,-5.497783660888672,-3.8076486587524414,1.6901350021362305,passive,1.0
8,role_labeled,no_prime_eos,no_prime_eos,,a leader chases a man .,a man is chased by a leader .,a,leader,a,man,chas,chases,chased,"[""VERB=chas"", ""AGENT=leader"", ""PATIENT=man""]","Event roles: VERB=chas; AGENT=leader; PATIENT=man
Sentence: the",Sentence: the,first_noun,-4.079389572143555,-4.539772033691406,-0.46038246154785156,active,0.0
8,role_labeled,filler,filler,The teacher listened during assembly .,a leader chases a man .,a man is chased by a leader .,a,leader,a,man,chas,chases,chased,"[""VERB=chas"", ""AGENT=leader"", ""PATIENT=man""]","Prime sentence: The teacher listened during assembly .
Event roles: VERB=chas; AGENT=leader; PATIENT=man
Sentence: the",Sentence: the,first_noun,-3.0097126960754395,-4.1789774894714355,-1.169264793395996,active,0.0
9,role_labeled,active,active,a chief teaches a child .,a president teaches a priest .,a priest is taught by a president .,a,president,a,priest,teach,teaches,taught,"[""AGENT=president"", ""VERB=teach"", ""PATIENT=priest""]","Prime sentence: a chief teaches a child .
Event roles: AGENT=president; VERB=teach; PATIENT=priest
Sentence: the",Sentence: the,first_noun,-3.3883650302886963,-3.785022735595703,-0.39665770530700684,active,0.0
9,role_labeled,passive,passive,a child is taught by a chief .,a president teaches a priest .,a priest is taught by a president .,a,president,a,priest,teach,teaches,taught,"[""AGENT=president"", ""VERB=teach"", ""PATIENT=priest""]","Prime sentence: a child is taught by a chief .
Event roles: AGENT=president; VERB=teach; PATIENT=priest
Sentence: the",Sentence: the,first_noun,-3.6666693687438965,-3.7097973823547363,-0.043128013610839844,active,0.0
9,role_labeled,no_prime_eos,no_prime_eos,,a president teaches a priest .,a priest is taught by a president .,a,president,a,priest,teach,teaches,taught,"[""AGENT=president"", ""VERB=teach"", ""PATIENT=priest""]","Event roles: AGENT=president; VERB=teach; PATIENT=priest
Sentence: the",Sentence: the,first_noun,-3.3506762981414795,-4.168792724609375,-0.8181164264678955,active,0.0
9,role_labeled,filler,filler,The lantern glowed near sunset .,a president teaches a priest .,a priest is taught by a president .,a,president,a,priest,teach,teaches,taught,"[""AGENT=president"", ""VERB=teach"", ""PATIENT=priest""]","Prime sentence: The lantern glowed near sunset .
Event roles: AGENT=president; VERB=teach; PATIENT=priest
Sentence: the",Sentence: the,first_noun,-4.975815773010254,-4.764618873596191,0.2111968994140625,passive,1.0
10,role_labeled,active,active,a kid understands a king .,a winner understands a woman .,a woman is understood by a winner .,a,winner,a,woman,understand,understands,understood,"[""VERB=understand"", ""AGENT=winner"", ""PATIENT=woman""]","Prime sentence: a kid understands a king .
Event roles: VERB=understand; AGENT=winner; PATIENT=woman
Sentence: the",Sentence: the,first_noun,-6.970743179321289,-4.838105201721191,2.1326379776000977,passive,1.0
10,role_labeled,passive,passive,a king is understood by a kid .,a winner understands a woman .,a woman is understood by a winner .,a,winner,a,woman,understand,understands,understood,"[""VERB=understand"", ""AGENT=winner"", ""PATIENT=woman""]","Prime sentence: a king is understood by a kid .
Event roles: VERB=understand; AGENT=winner; PATIENT=woman
Sentence: the",Sentence: the,first_noun,-7.5349016189575195,-4.826061248779297,2.7088403701782227,passive,1.0
10,role_labeled,no_prime_eos,no_prime_eos,,a winner understands a woman .,a woman is understood by a winner .,a,winner,a,woman,understand,understands,understood,"[""VERB=understand"", ""AGENT=winner"", ""PATIENT=woman""]","Event roles: VERB=understand; AGENT=winner; PATIENT=woman
Sentence: the",Sentence: the,first_noun,-4.859649658203125,-3.456373929977417,1.403275728225708,passive,1.0
10,role_labeled,filler,filler,The pillow rested on the sofa .,a winner understands a woman .,a woman is understood by a winner .,a,winner,a,woman,understand,understands,understood,"[""VERB=understand"", ""AGENT=winner"", ""PATIENT=woman""]","Prime sentence: The pillow rested on the sofa .
Event roles: VERB=understand; AGENT=winner; PATIENT=woman
Sentence: the",Sentence: the,first_noun,-9.470009803771973,-4.807009696960449,4.663000106811523,passive,1.0
11,role_labeled,active,active,a king beats a lady .,a woman beats a worker .,a worker is beaten by a woman .,a,woman,a,worker,beat,beats,beaten,"[""VERB=beat"", ""AGENT=woman"", ""PATIENT=worker""]","Prime sentence: a king beats a lady .
Event roles: VERB=beat; AGENT=woman; PATIENT=worker
Sentence: the",Sentence: the,first_noun,-3.87908935546875,-6.5400800704956055,-2.6609907150268555,active,0.0
11,role_labeled,passive,passive,a lady is beaten by a king .,a woman beats a worker .,a worker is beaten by a woman .,a,woman,a,worker,beat,beats,beaten,"[""VERB=beat"", ""AGENT=woman"", ""PATIENT=worker""]","Prime sentence: a lady is beaten by a king .
Event roles: VERB=beat; AGENT=woman; PATIENT=worker
Sentence: the",Sentence: the,first_noun,-3.570889949798584,-6.0323991775512695,-2.4615092277526855,active,0.0
11,role_labeled,no_prime_eos,no_prime_eos,,a woman beats a worker .,a worker is beaten by a woman .,a,woman,a,worker,beat,beats,beaten,"[""VERB=beat"", ""AGENT=woman"", ""PATIENT=worker""]","Event roles: VERB=beat; AGENT=woman; PATIENT=worker
Sentence: the",Sentence: the,first_noun,-2.7985453605651855,-4.972169399261475,-2.173624038696289,active,0.0
11,role_labeled,filler,filler,The lantern glowed near sunset .,a woman beats a worker .,a worker is beaten by a woman .,a,woman,a,worker,beat,beats,beaten,"[""VERB=beat"", ""AGENT=woman"", ""PATIENT=worker""]","Prime sentence: The lantern glowed near sunset .
Event roles: VERB=beat; AGENT=woman; PATIENT=worker
Sentence: the",Sentence: the,first_noun,-3.909001111984253,-6.228161811828613,-2.3191606998443604,active,0.0
12,role_labeled,active,active,a husband kisses a kid .,a wife kisses a winner .,a winner is kissed by a wife .,a,wife,a,winner,kiss,kisses,kissed,"[""VERB=kiss"", ""PATIENT=winner"", ""AGENT=wife""]","Prime sentence: a husband kisses a kid .
Event roles: VERB=kiss; PATIENT=winner; AGENT=wife
Sentence: the",Sentence: the,first_noun,-3.24764347076416,-6.649778366088867,-3.402134895324707,active,0.0
12,role_labeled,passive,passive,a kid is kissed by a husband .,a wife kisses a winner .,a winner is kissed by a wife .,a,wife,a,winner,kiss,kisses,kissed,"[""VERB=kiss"", ""PATIENT=winner"", ""AGENT=wife""]","Prime sentence: a kid is kissed by a husband .
Event roles: VERB=kiss; PATIENT=winner; AGENT=wife
Sentence: the",Sentence: the,first_noun,-3.4939889907836914,-6.310596942901611,-2.81660795211792,active,0.0
12,role_labeled,no_prime_eos,no_prime_eos,,a wife kisses a winner .,a winner is kissed by a wife .,a,wife,a,winner,kiss,kisses,kissed,"[""VERB=kiss"", ""PATIENT=winner"", ""AGENT=wife""]","Event roles: VERB=kiss; PATIENT=winner; AGENT=wife
Sentence: the",Sentence: the,first_noun,-4.454429626464844,-4.98499059677124,-0.5305609703063965,active,0.0
12,role_labeled,filler,filler,The tourist wandered through the plaza .,a wife kisses a winner .,a winner is kissed by a wife .,a,wife,a,winner,kiss,kisses,kissed,"[""VERB=kiss"", ""PATIENT=winner"", ""AGENT=wife""]","Prime sentence: The tourist wandered through the plaza .
Event roles: VERB=kiss; PATIENT=winner; AGENT=wife
Sentence: the",Sentence: the,first_noun,-4.908754348754883,-7.488976001739502,-2.580221652984619,active,0.0
13,role_labeled,active,active,a cousin asks a daughter .,a professor asks a reader .,a reader is asked by a professor .,a,professor,a,reader,ask,asks,asked,"[""PATIENT=reader"", ""VERB=ask"", ""AGENT=professor""]","Prime sentence: a cousin asks a daughter .
Event roles: PATIENT=reader; VERB=ask; AGENT=professor
Sentence: the",Sentence: the,first_noun,-3.794947385787964,-6.068698883056641,-2.2737514972686768,active,0.0
13,role_labeled,passive,passive,a daughter is asked by a cousin .,a professor asks a reader .,a reader is asked by a professor .,a,professor,a,reader,ask,asks,asked,"[""PATIENT=reader"", ""VERB=ask"", ""AGENT=professor""]","Prime sentence: a daughter is asked by a cousin .
Event roles: PATIENT=reader; VERB=ask; AGENT=professor
Sentence: the",Sentence: the,first_noun,-3.7680864334106445,-5.43850040435791,-1.6704139709472656,active,0.0
13,role_labeled,no_prime_eos,no_prime_eos,,a professor asks a reader .,a reader is asked by a professor .,a,professor,a,reader,ask,asks,asked,"[""PATIENT=reader"", ""VERB=ask"", ""AGENT=professor""]","Event roles: PATIENT=reader; VERB=ask; AGENT=professor
Sentence: the",Sentence: the,first_noun,-4.143527507781982,-5.183228015899658,-1.0397005081176758,active,0.0
13,role_labeled,filler,filler,The sculpture stood in the hallway .,a professor asks a reader .,a reader is asked by a professor .,a,professor,a,reader,ask,asks,asked,"[""PATIENT=reader"", ""VERB=ask"", ""AGENT=professor""]","Prime sentence: The sculpture stood in the hallway .
Event roles: PATIENT=reader; VERB=ask; AGENT=professor
Sentence: the",Sentence: the,first_noun,-3.8217291831970215,-6.524725914001465,-2.7029967308044434,active,0.0
14,role_labeled,active,active,a scientist describes a secretary .,a daughter describes a doctor .,a doctor is described by a daughter .,a,daughter,a,doctor,describ,describes,described,"[""VERB=describ"", ""AGENT=daughter"", ""PATIENT=doctor""]","Prime sentence: a scientist describes a secretary .
Event roles: VERB=describ; AGENT=daughter; PATIENT=doctor
Sentence: the",Sentence: the,first_noun,-4.997706413269043,-2.7433435916900635,2.2543628215789795,passive,1.0
14,role_labeled,passive,passive,a secretary is described by a scientist .,a daughter describes a doctor .,a doctor is described by a daughter .,a,daughter,a,doctor,describ,describes,described,"[""VERB=describ"", ""AGENT=daughter"", ""PATIENT=doctor""]","Prime sentence: a secretary is described by a scientist .
Event roles: VERB=describ; AGENT=daughter; PATIENT=doctor
Sentence: the",Sentence: the,first_noun,-5.609652996063232,-3.1847076416015625,2.42494535446167,passive,1.0
14,role_labeled,no_prime_eos,no_prime_eos,,a daughter describes a doctor .,a doctor is described by a daughter .,a,daughter,a,doctor,describ,describes,described,"[""VERB=describ"", ""AGENT=daughter"", ""PATIENT=doctor""]","Event roles: VERB=describ; AGENT=daughter; PATIENT=doctor
Sentence: the",Sentence: the,first_noun,-5.518735885620117,-3.368147373199463,2.1505885124206543,passive,1.0
14,role_labeled,filler,filler,The singer smiled after rehearsal .,a daughter describes a doctor .,a doctor is described by a daughter .,a,daughter,a,doctor,describ,describes,described,"[""VERB=describ"", ""AGENT=daughter"", ""PATIENT=doctor""]","Prime sentence: The singer smiled after rehearsal .
Event roles: VERB=describ; AGENT=daughter; PATIENT=doctor
Sentence: the",Sentence: the,first_noun,-5.593204498291016,-3.3164474964141846,2.276757001876831,passive,1.0
15,role_labeled,active,active,a mother carries a nurse .,an author carries a bishop .,a bishop is carried by an author .,an,author,a,bishop,carry,carries,carried,"[""PATIENT=bishop"", ""AGENT=author"", ""VERB=carry""]","Prime sentence: a mother carries a nurse .
Event roles: PATIENT=bishop; AGENT=author; VERB=carry
Sentence: the",Sentence: the,first_noun,-5.925228595733643,-3.7761120796203613,2.1491165161132812,passive,1.0
15,role_labeled,passive,passive,a nurse is carried by a mother .,an author carries a bishop .,a bishop is carried by an author .,an,author,a,bishop,carry,carries,carried,"[""PATIENT=bishop"", ""AGENT=author"", ""VERB=carry""]","Prime sentence: a nurse is carried by a mother .
Event roles: PATIENT=bishop; AGENT=author; VERB=carry
Sentence: the",Sentence: the,first_noun,-5.543725967407227,-3.6378891468048096,1.905836820602417,passive,1.0
15,role_labeled,no_prime_eos,no_prime_eos,,an author carries a bishop .,a bishop is carried by an author .,an,author,a,bishop,carry,carries,carried,"[""PATIENT=bishop"", ""AGENT=author"", ""VERB=carry""]","Event roles: PATIENT=bishop; AGENT=author; VERB=carry
Sentence: the",Sentence: the,first_noun,-4.607097625732422,-4.252137184143066,0.35496044158935547,passive,1.0
15,role_labeled,filler,filler,The sculpture stood in the hallway .,an author carries a bishop .,a bishop is carried by an author .,an,author,a,bishop,carry,carries,carried,"[""PATIENT=bishop"", ""AGENT=author"", ""VERB=carry""]","Prime sentence: The sculpture stood in the hallway .
Event roles: PATIENT=bishop; AGENT=author; VERB=carry
Sentence: the",Sentence: the,first_noun,-6.052943229675293,-4.826860427856445,1.2260828018188477,passive,1.0
16,role_labeled,active,active,a buddy joins a candidate .,a parent joins a partner .,a partner is joined by a parent .,a,parent,a,partner,join,joins,joined,"[""VERB=join"", ""AGENT=parent"", ""PATIENT=partner""]","Prime sentence: a buddy joins a candidate .
Event roles: VERB=join; AGENT=parent; PATIENT=partner
Sentence: the",Sentence: the,first_noun,-4.784287452697754,-5.106680393218994,-0.32239294052124023,active,0.0
